,Run,Assay Type,BioProject,BioSample,Center Name,Consent,DNA-ID,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Population_Description,population,ReleaseDate,Sample Name,sex,SRA Study,Super_Population_Code,Super_Population_Description,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,culture_collection,AvgSpotLen,Bases,Coriell_panel,Family_Id,HapMap_sample_ID,Coriell_plate,relationship_type,local_family_id,Relationship,type,sample_type,local_id,AssemblyName,cell_line,cell_type,Collection,ETHNICITY,family_role,RACE,Tag,relationship_type_(unrel_,_duo,_trio),Chinese_Code,dna_source,fosmid_library_source,isolate,tissue-type,fosmid_library_name,bio_material,bio-material,Gene,Karyotype,Mutation,subject_id,ENA_first_public,ENA-LAST-UPDATE
23146,ERR3240124,WGS,PRJEB31736,SAMN00004634,NYGC,public,HG00108,2019-03-22,2019-03-22,ERX3267499,Illumina NovaSeq 6000,HG00108,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00108,male,ERP114329,EUR,European,11034614451.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:13:00Z,1.0,CORIELL:HG00108,300.0,112216204500.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23147,ERR3240125,WGS,PRJEB31736,SAMN00004635,NYGC,public,HG00109,2019-03-22,2019-03-22,ERX3267500,Illumina NovaSeq 6000,HG00109,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00109,male,ERP114329,EUR,European,12492167436.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:18:00Z,1.0,CORIELL:HG00109,300.0,118000257900.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23148,ERR3240126,WGS,PRJEB31736,SAMN00004636,NYGC,public,HG00110,2019-03-22,2019-03-22,ERX3267501,Illumina NovaSeq 6000,HG00110,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00110,female,ERP114329,EUR,European,10262333778.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:02:00Z,1.0,CORIELL:HG00110,300.0,109399977300.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23149,ERR3240127,WGS,PRJEB31736,SAMN00004637,NYGC,public,HG00111,2019-03-22,2019-03-22,ERX3267502,Illumina NovaSeq 6000,HG00111,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00111,female,ERP114329,EUR,European,12976102958.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:07:00Z,1.0,CORIELL:HG00111,300.0,108875889900.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23150,ERR3240128,WGS,PRJEB31736,SAMN00004638,NYGC,public,HG00112,2019-03-22,2019-03-22,ERX3267503,Illumina NovaSeq 6000,HG00112,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00112,male,ERP114329,EUR,European,10988005091.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T04:45:00Z,1.0,CORIELL:HG00112,300.0,112178599500.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23151,ERR3240129,WGS,PRJEB31736,SAMN00004639,NYGC,public,HG00113,2019-03-22,2019-03-22,ERX3267504,Illumina NovaSeq 6000,HG00113,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00113,male,ERP114329,EUR,European,9262085092.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T06:41:00Z,1.0,CORIELL:HG00113,300.0,100094037000.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23152,ERR3240130,WGS,PRJEB31736,SAMN00004640,NYGC,public,HG00114,2019-03-22,2019-03-22,ERX3267505,Illumina NovaSeq 6000,HG00114,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00114,male,ERP114329,EUR,European,10708517134.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T05:03:00Z,1.0,CORIELL:HG00114,300.0,113243894400.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23153,ERR3240131,WGS,PRJEB31736,SAMN00004641,NYGC,public,HG00115,2019-03-22,2019-03-22,ERX3267506,Illumina NovaSeq 6000,HG00115,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00115,male,ERP114329,EUR,European,9646750273.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T02:48:00Z,1.0,CORIELL:HG00115,300.0,98590429200.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23154,ERR3240132,WGS,PRJEB31736,SAMN00004642,NYGC,public,HG00116,2019-03-22,2019-03-22,ERX3267507,Illumina NovaSeq 6000,HG00116,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00116,male,ERP114329,EUR,European,16234334501.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T00:59:00Z,1.0,CORIELL:HG00116,300.0,154448747700.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23155,ERR3240133,WGS,PRJEB31736,SAMN00004643,NYGC,public,HG00117,2019-03-22,2019-03-22,ERX3267508,Illumina NovaSeq 6000,HG00117,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00117,male,ERP114329,EUR,European,12536705531.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T06:42:00Z,1.0,CORIELL:HG00117,300.0,130845966000.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23215,ERR3240193,WGS,PRJEB31736,SAMN00006337,NYGC,public,HG00118,2019-03-22,2019-03-22,ERX3267568,Illumina NovaSeq 6000,HG00118,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00118,female,ERP114329,EUR,European,11297075067.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T04:41:00Z,1.0,CORIELL:HG00118,300.0,120190897800.0,MGP00003,,,ORK,,,,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23216,ERR3240194,WGS,PRJEB31736,SAMN00006338,NYGC,public,HG00119,2019-03-22,2019-03-22,ERX3267569,Illumina NovaSeq 6000,HG00119,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00119,male,ERP114329,EUR,European,11974139654.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T06:21:00Z,1.0,CORIELL:HG00119,300.0,117770036700.0,MGP00003,,,ORK,,,,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23156,ERR3240134,WGS,PRJEB31736,SAMN00004644,NYGC,public,HG00120,2019-03-22,2019-03-22,ERX3267509,Illumina NovaSeq 6000,HG00120,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00120,female,ERP114329,EUR,European,11970281247.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T12:26:00Z,1.0,CORIELL:HG00120,300.0,131967447600.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23217,ERR3240195,WGS,PRJEB31736,SAMN00006339,NYGC,public,HG00121,2019-03-22,2019-03-22,ERX3267570,Illumina NovaSeq 6000,HG00121,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00121,female,ERP114329,EUR,European,11756888960.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T04:46:00Z,1.0,CORIELL:HG00121,300.0,113336299800.0,MGP00003,,,ORK,,,,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23218,ERR3240196,WGS,PRJEB31736,SAMN00006340,NYGC,public,HG00122,2019-03-22,2019-03-22,ERX3267571,Illumina NovaSeq 6000,HG00122,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00122,female,ERP114329,EUR,European,12019988046.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T05:44:00Z,1.0,CORIELL:HG00122,300.0,117716009700.0,MGP00003,,,ORK,,,,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23219,ERR3240197,WGS,PRJEB31736,SAMN00006341,NYGC,public,HG00123,2019-03-22,2019-03-22,ERX3267572,Illumina NovaSeq 6000,HG00123,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00123,female,ERP114329,EUR,European,10249024028.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T07:07:00Z,1.0,CORIELL:HG00123,300.0,108426910500.0,MGP00003,,,ORK,,,,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23220,ERR3240198,WGS,PRJEB31736,SAMN00006343,NYGC,public,HG00125,2019-03-22,2019-03-22,ERX3267573,Illumina NovaSeq 6000,HG00125,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00125,female,ERP114329,EUR,European,10947495874.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T04:28:00Z,1.0,CORIELL:HG00125,300.0,99424147200.0,MGP00003,,,ORK,,,,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23221,ERR3240199,WGS,PRJEB31736,SAMN00006344,NYGC,public,HG00126,2019-03-22,2019-03-22,ERX3267574,Illumina NovaSeq 6000,HG00126,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00126,male,ERP114329,EUR,European,14753544639.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T14:00:00Z,1.0,CORIELL:HG00126,300.0,139636375200.0,MGP00003,,,KEN,,,,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23157,ERR3240135,WGS,PRJEB31736,SAMN00004645,NYGC,public,HG00127,2019-03-22,2019-03-22,ERX3267510,Illumina NovaSeq 6000,HG00127,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00127,female,ERP114329,EUR,European,12721075695.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T07:10:00Z,1.0,CORIELL:HG00127,300.0,121190396400.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23158,ERR3240136,WGS,PRJEB31736,SAMN00004646,NYGC,public,HG00128,2019-03-22,2019-03-22,ERX3267511,Illumina NovaSeq 6000,HG00128,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00128,female,ERP114329,EUR,European,13776490110.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T08:43:00Z,1.0,CORIELL:HG00128,300.0,147460895100.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23159,ERR3240137,WGS,PRJEB31736,SAMN00004647,NYGC,public,HG00129,2019-03-22,2019-03-22,ERX3267512,Illumina NovaSeq 6000,HG00129,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00129,male,ERP114329,EUR,European,10471742033.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-01T23:48:00Z,1.0,CORIELL:HG00129,300.0,101096829600.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23160,ERR3240138,WGS,PRJEB31736,SAMN00004648,NYGC,public,HG00130,2019-03-22,2019-03-22,ERX3267513,Illumina NovaSeq 6000,HG00130,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00130,female,ERP114329,EUR,European,11195056289.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T09:41:00Z,1.0,CORIELL:HG00130,300.0,103979740800.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23161,ERR3240139,WGS,PRJEB31736,SAMN00004649,NYGC,public,HG00131,2019-03-22,2019-03-22,ERX3267514,Illumina NovaSeq 6000,HG00131,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00131,male,ERP114329,EUR,European,10917518392.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T07:13:00Z,1.0,CORIELL:HG00131,300.0,114267955500.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23162,ERR3240140,WGS,PRJEB31736,SAMN00004650,NYGC,public,HG00132,2019-03-22,2019-03-22,ERX3267515,Illumina NovaSeq 6000,HG00132,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00132,female,ERP114329,EUR,European,9890016780.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T02:07:00Z,1.0,CORIELL:HG00132,300.0,111383787900.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23163,ERR3240141,WGS,PRJEB31736,SAMN00004651,NYGC,public,HG00133,2019-03-22,2019-03-22,ERX3267516,Illumina NovaSeq 6000,HG00133,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00133,female,ERP114329,EUR,European,14884324506.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T11:23:00Z,1.0,CORIELL:HG00133,300.0,170378106600.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23164,ERR3240142,WGS,PRJEB31736,SAMN00004654,NYGC,public,HG00136,2019-03-22,2019-03-22,ERX3267517,Illumina NovaSeq 6000,HG00136,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00136,male,ERP114329,EUR,European,9696056654.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T03:47:00Z,1.0,CORIELL:HG00136,300.0,110748125700.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23165,ERR3240143,WGS,PRJEB31736,SAMN00004655,NYGC,public,HG00137,2019-03-22,2019-03-22,ERX3267518,Illumina NovaSeq 6000,HG00137,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00137,female,ERP114329,EUR,European,11706976999.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-03T02:29:00Z,1.0,CORIELL:HG00137,300.0,111877222800.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23166,ERR3240144,WGS,PRJEB31736,SAMN00004656,NYGC,public,HG00138,2019-03-22,2019-03-22,ERX3267519,Illumina NovaSeq 6000,HG00138,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00138,male,ERP114329,EUR,European,11295121352.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T08:13:00Z,1.0,CORIELL:HG00138,300.0,115738458300.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23167,ERR3240145,WGS,PRJEB31736,SAMN00004657,NYGC,public,HG00139,2019-03-22,2019-03-22,ERX3267520,Illumina NovaSeq 6000,HG00139,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00139,male,ERP114329,EUR,European,11643898683.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T08:54:00Z,1.0,CORIELL:HG00139,300.0,121594536000.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23168,ERR3240146,WGS,PRJEB31736,SAMN00004658,NYGC,public,HG00140,2019-03-22,2019-03-22,ERX3267521,Illumina NovaSeq 6000,HG00140,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00140,male,ERP114329,EUR,European,10065039241.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T09:04:00Z,1.0,CORIELL:HG00140,300.0,113709575100.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23169,ERR3240147,WGS,PRJEB31736,SAMN00004659,NYGC,public,HG00141,2019-03-22,2019-03-22,ERX3267522,Illumina NovaSeq 6000,HG00141,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00141,male,ERP114329,EUR,European,13366721077.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T09:06:00Z,1.0,CORIELL:HG00141,300.0,109561551000.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23170,ERR3240148,WGS,PRJEB31736,SAMN00004660,NYGC,public,HG00142,2019-03-22,2019-03-22,ERX3267523,Illumina NovaSeq 6000,HG00142,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00142,male,ERP114329,EUR,European,9893614214.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2020-03-02T01:28:00Z,1.0,CORIELL:HG00142,300.0,111558765300.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
